num_samples,L
2000000,-158.891209534
2000000,-158.891209534,-157.955245972
2050000,-158.518810669
2050000,-158.518810669,-157.647232056
2100000,-158.169398407
2100000,-158.169398407,-157.159194946
2150000,-157.817962372
2150000,-157.817962372,-156.868865967
2200000,-157.473308716
2200000,-157.473308716,-156.553649902
2250000,-157.141193817
2250000,-157.141193817,-156.182525635
2300000,-156.790343719
2300000,-156.790343719,-155.812820435
2350000,-156.464564209
2350000,-156.464564209,-155.487564087
2400000,-156.152585693
2400000,-156.152585693,-155.291213989
2450000,-155.83317215
2450000,-155.83317215,-154.911605835
2500000,-155.540615082
2500000,-155.540615082,-154.507995605
2550000,-155.245787292
2550000,-155.245787292,-154.191848755
2600000,-154.947841949
2600000,-154.947841949,-153.951843262
2650000,-154.672677917
2650000,-154.672677917,-153.612808228
2700000,-154.404152954
2700000,-154.404152954,-153.43196106
2750000,-154.146707397
2750000,-154.146707397,-153.140090942
2800000,-153.873240814
2800000,-153.873240814,-152.816253662
2850000,-153.637927979
2850000,-153.637927979,-152.62046814
2900000,-153.384523407
2900000,-153.384523407,-152.3777771
2950000,-153.16331076
2950000,-153.16331076,-152.030303955
3000000,-152.933017944
3000000,-152.933017944,-151.88319397
3050000,-152.722534576
3050000,-152.722534576,-151.638305664
3100000,-152.494307037
3100000,-152.494307037,-151.519470215
3150000,-152.298177521
3150000,-152.298177521,-151.174819946
3200000,-152.103149017
3200000,-152.103149017,-150.996109009
3250000,-151.916108734
3250000,-151.916108734,-150.785003662
3300000,-151.709922058
3300000,-151.709922058,-150.594284058
3350000,-151.535978668
3350000,-151.535978668,-150.485931396
3400000,-151.35513623
3400000,-151.35513623,-150.257644653
3450000,-151.187557678
3450000,-151.187557678,-150.17010498
3500000,-151.009487885
3500000,-151.009487885,-149.939544678
3550000,-150.851950928
3550000,-150.851950928,-149.772872925
3600000,-150.704775726
3600000,-150.704775726,-149.580612183
3650000,-150.535360718
3650000,-150.535360718,-149.40953064
3700000,-150.391100006
3700000,-150.391100006,-149.324188232
3750000,-150.250094452
3750000,-150.250094452,-149.163269043
3800000,-150.109786713
3800000,-150.109786713,-149.070343018
3850000,-149.989022186
3850000,-149.989022186,-148.891967773
3900000,-149.84959314
3900000,-149.84959314,-148.727127075
3950000,-149.70365799
3950000,-149.70365799,-148.701217651
4000000,-149.593581451
4000000,-149.593581451,-148.538101196
4050000,-149.459692993
4050000,-149.459692993,-148.403015137
4100000,-149.34736676
4100000,-149.34736676,-148.28692627
4150000,-149.23348645
4150000,-149.23348645,-148.195068359
4200000,-149.111281677
4200000,-149.111281677,-148.063644409
4250000,-149.004954224
4250000,-149.004954224,-147.958908081
4300000,-148.895421143
4300000,-148.895421143,-147.952682495
4350000,-148.783726257
4350000,-148.783726257,-147.729751587
4400000,-148.671978729
4400000,-148.671978729,-147.749557495
4450000,-148.577796021
4450000,-148.577796021,-147.571105957
4500000,-148.475247528
4500000,-148.475247528,-147.506240845
4550000,-148.380287231
4550000,-148.380287231,-147.346237183
4600000,-148.308947388
4600000,-148.308947388,-147.274597168
4650000,-148.218705383
4650000,-148.218705383,-147.204818726
4700000,-148.113098511
4700000,-148.113098511,-147.083526611
4750000,-148.025654999
4750000,-148.025654999,-147.004180908
4800000,-147.928491028
4800000,-147.928491028,-146.917556763
4850000,-147.849352539
4850000,-147.849352539,-146.782043457
4900000,-147.765165314
4900000,-147.765165314,-146.779312134
4950000,-147.694720825
4950000,-147.694720825,-146.65234375
5000000,-147.605259583
5000000,-147.605259583,-146.59375
5050000,-147.518115051
5050000,-147.518115051,-146.473220825
5100000,-147.461096832
5100000,-147.461096832,-146.492370605
5150000,-147.366241364
5150000,-147.366241364,-146.458755493
5200000,-147.290829773
5200000,-147.290829773,-146.297531128
5250000,-147.237067413
5250000,-147.237067413,-146.225875854
5300000,-147.152544159
5300000,-147.152544159,-146.155349731
5350000,-147.09549704
5350000,-147.09549704,-146.064926147
5400000,-147.011117706
5400000,-147.011117706,-145.972702026
5450000,-146.944813965
5450000,-146.944813965,-145.906906128
5500000,-146.869238647
5500000,-146.869238647,-145.944869995
5550000,-146.815993042
5550000,-146.815993042,-145.776550293
5600000,-146.744952332
