num_samples,L
36050000,-102.017563614,-102.808525085
36100000,-101.981947983,-102.798454285
36150000,-101.9743461,-102.806228638
36200000,-101.990326859,-102.785179138
36250000,-102.007347916,-102.817474365
36300000,-101.998112518,-102.836280823
36350000,-101.976764236,-102.868148804
36400000,-101.973171082,-102.78842926
36450000,-101.986317596,-102.720977783
36500000,-101.948088989,-102.778816223
36550000,-101.931784714,-102.741203308
36600000,-101.995472656,-102.848823547
36650000,-101.916186951,-102.7213974
36700000,-101.973784775,-102.806053162
36750000,-101.95049324,-102.774963379
36800000,-101.933088882,-102.827163696
36850000,-101.941619049,-102.815383911
36900000,-101.950945267,-102.698776245
36950000,-101.944597275,-102.724159241
37000000,-101.923930008,-102.753501892
37050000,-101.912533752,-102.761535645
37100000,-101.913523193,-102.743164062
37150000,-101.91024968,-102.683807373
37200000,-101.886805573,-102.768348694
37250000,-101.886302002,-102.775009155
37300000,-101.905093521,-102.693489075
37350000,-101.891702957,-102.684883118
37400000,-101.937433655,-102.727264404
37450000,-101.9068367,-102.741065979
37500000,-101.887853485,-102.687713623
37550000,-101.911876602,-102.744888306
37600000,-101.880274338,-102.709632874
37650000,-101.837304291,-102.673019409
37700000,-101.865067902,-102.697509766
37750000,-101.878686172,-102.79434967
37800000,-101.843841095,-102.695770264
37850000,-101.872371475,-102.686790466
37900000,-101.867970871,-102.738288879
37950000,-101.855482544,-102.687438965
38000000,-101.872041351,-102.739753723
38050000,-101.865854309,-102.743438721
38100000,-101.876830338,-102.711631775
38150000,-101.887151093,-102.674621582
38200000,-101.886431854,-102.804222107
38250000,-101.864735901,-102.684684753
38300000,-101.841429321,-102.721290588
38350000,-101.832292084,-102.696388245
38400000,-101.83957019,-102.727272034
38450000,-101.833213715,-102.729896545
38500000,-101.854951248,-102.672729492
38550000,-101.812667938,-102.706886292
38600000,-101.84069873,-102.753097534
38650000,-101.836201736,-102.644592285
38700000,-101.840312683,-102.623100281
38750000,-101.848044403,-102.649642944
38800000,-101.822513748,-102.581573486
38850000,-101.83573143,-102.625640869
