num_samples,L,Lvalid
21750000,-142.752954867,-141.879686231
21800000,-142.733538697,-141.82798284
21850000,-142.72685161,-141.861577266
21900000,-142.723704814,-141.771045153
21950000,-142.715261926,-141.834824408
22000000,-142.697798895,-141.837351177
22050000,-142.709051321,-141.786504085
22100000,-142.678975358,-141.7676716
22150000,-142.683140822,-141.785899098
22200000,-142.690422624,-141.771198519
22250000,-142.659450459,-141.780656563
22300000,-142.664436451,-141.757635996
22350000,-142.645923693,-141.832886528
22400000,-142.647834772,-141.764371433
22450000,-142.64719259,-141.806468091
22500000,-142.654341267,-141.768259476
22550000,-142.629087715,-141.761228904
22600000,-142.621844714,-141.728300389
22650000,-142.618269257,-141.686610682
22700000,-142.617104341,-141.745098913
22750000,-142.596237085,-141.745568388
22800000,-142.596803327,-141.691432839
22850000,-142.576751665,-141.695932772
22900000,-142.580498029,-141.638171674
22950000,-142.580557218,-141.690923439
23000000,-142.582723776,-141.705246332
23050000,-142.547170501,-141.720257394
23100000,-142.550386625,-141.612123381
23150000,-142.549200426,-141.653001289
23200000,-142.547335899,-141.641546529
23250000,-142.51353798,-141.660662294
23300000,-142.52911903,-141.66997991
23350000,-142.515421824,-141.635538358
23400000,-142.519160825,-141.655250525
23450000,-142.504050565,-141.69059152
23500000,-142.495782458,-141.63800574
23550000,-142.496668862,-141.643800684
23600000,-142.485387951,-141.589341617
23650000,-142.470113179,-141.655415239
23700000,-142.462172253,-141.553429285
23750000,-142.460825846,-141.551640281
23800000,-142.467732046,-141.541537885
23850000,-142.438956781,-141.554774252
23900000,-142.444699701,-141.588402956
23950000,-142.424386218,-141.612360849
24000000,-142.426807653,-141.523772752
24050000,-142.430681894,-141.558332823
24100000,-142.411509665,-141.529839198
24150000,-142.413336939,-141.516665647
24200000,-142.404742726,-141.539676753
24250000,-142.396125765,-141.482670081
24300000,-142.382811804,-141.539627263
24350000,-142.373684688,-141.46100971
24400000,-142.370230279,-141.480424328
24450000,-142.36831263,-141.461984819
24500000,-142.372100797,-141.458084954
24550000,-142.361133449,-141.515861423
24600000,-142.354070569,-141.535977738
24650000,-142.352562264,-141.431673932
24700000,-142.338797813,-141.507385031
24750000,-142.327507727,-141.455620872
24800000,-142.336139548,-141.445749149
24850000,-142.312270378,-141.421876483
24900000,-142.30453692,-141.451432366
24950000,-142.30127267,-141.366888342
25000000,-142.293121573,-141.427641403
25050000,-142.30384779,-141.440925359
25100000,-142.289732504,-141.415115943
25150000,-142.281995314,-141.36265249
25200000,-142.275727248,-141.411726347
25250000,-142.2689848,-141.333435263
25300000,-142.270293045,-141.351054735
25350000,-142.268124958,-141.42061354
25400000,-142.23486143,-141.391173589
25450000,-142.254965814,-141.384660137
25500000,-142.253003062,-141.359837029
25550000,-142.228549323,-141.343777158
25600000,-142.22541968,-141.393710078
25650000,-142.223524193,-141.35521676
25700000,-142.195646345,-141.310090691
25750000,-142.213837599,-141.322702464
25800000,-142.213971327,-141.37384104
25850000,-142.19243613,-141.32146693
25900000,-142.191193325,-141.291779157
25950000,-142.188027987,-141.343837294
26000000,-142.175224666,-141.269949783
26050000,-142.173274321,-141.295136597
26100000,-142.173451467,-141.281077276
26150000,-142.161857718,-141.323253155
26200000,-142.154995949,-141.298647919
26250000,-142.156868525,-141.289859305
26300000,-142.144260181,-141.262809896
26350000,-142.125425789,-141.265627322
26400000,-142.124104406,-141.267949798
26450000,-142.128124383,-141.218553295
26500000,-142.119061155,-141.25626335
26550000,-142.103794846,-141.217922912
26600000,-142.125708818,-141.239516432
26650000,-142.103400898,-141.26297581
26700000,-142.107100839,-141.240468074
26750000,-142.103640877,-141.276530184
26800000,-142.090067232,-141.273397829
26850000,-142.085894301,-141.303104169
26900000,-142.086349253,-141.222642026
26950000,-142.070913145,-141.187235372
27000000,-142.069407127,-141.241209979
27050000,-142.058193833,-141.167167683
27100000,-142.055777532,-141.264364534
27150000,-142.059439538,-141.200794824
27200000,-142.046697842,-141.253119192
27250000,-142.039712519,-141.143754155
27300000,-142.032533128,-141.1771545
27350000,-142.031197371,-141.099879657
27400000,-142.018614843,-141.175695642
27450000,-142.009436993,-141.169884387
27500000,-142.006999612,-141.184932979
27550000,-142.011789309,-141.124836599
27600000,-141.998245587,-141.16318505
27650000,-141.994343274,-141.194868964
27700000,-141.99566059,-141.169762019
27750000,-141.983802138,-141.190854395
27800000,-141.98043577,-141.107409304
27850000,-141.970615079,-141.122708423
